Time [s]	Eng. strain [-]	Cast-200-20C-001 [MPa]
0.000000	-0.000000	-0.035194	
0.000010	0.000002	0.487840	
0.000020	0.000081	16.178848	
0.000030	0.000314	62.895232	
0.000040	0.000706	141.248181	
0.000050	0.001313	262.598572	
0.000060	0.002037	407.485909	
0.000070	0.002583	516.660927	
0.000080	0.002924	584.824830	
0.000090	0.003199	639.845091	
0.000100	0.006865	678.461614	
0.000110	0.010252	700.877381	
0.000120	0.013440	717.638107	
0.000130	0.016530	730.221780	
0.000140	0.019585	739.799439	
0.000150	0.022603	747.899463	
0.000160	0.025565	754.216672	
0.000170	0.028469	759.107346	
0.000180	0.031334	763.641387	
0.000190	0.034213	768.430216	
0.000200	0.037119	773.066101	
0.000210	0.040007	777.090563	
0.000220	0.042863	780.554701	
0.000230	0.045682	783.764406	
0.000240	0.048412	786.668576	
0.000250	0.051060	789.266858	
0.000260	0.053715	791.814040	
0.000270	0.056409	794.157177	
0.000280	0.059066	796.449215	
0.000290	0.061632	798.996396	
0.000300	0.064119	801.340244	
0.000310	0.066552	803.123768	
0.000320	0.068971	804.753992	
0.000330	0.071414	806.689396	
0.000340	0.073851	808.879944	
0.000350	0.076220	811.070847	
0.000360	0.078501	813.210295	
0.000370	0.080703	815.502687	
0.000380	0.082871	818.101324	
0.000390	0.085075	820.750705	
0.000400	0.087347	823.043098	
0.000410	0.089650	825.080701	
0.000420	0.091916	827.118305	
0.000430	0.094106	828.901474	
0.000440	0.096260	830.430209	
0.000450	0.098444	832.009688	
0.000460	0.100632	833.486969	
0.000470	0.102748	834.862049	
0.000480	0.104776	836.390074	
0.000490	0.106761	837.969554	
0.000500	0.108745	839.447189	
0.000510	0.110756	840.771880	
0.000520	0.112792	842.096570	
0.000530	0.114813	843.777540	
0.000540	0.116783	845.611099	
0.000550	0.118712	847.037635	
0.000560	0.120653	848.107891	
0.000570	0.122671	849.330382	
0.000580	0.124778	850.858407	
0.000590	0.126919	852.437887	
0.000600	0.129010	853.813677	
0.000610	0.130992	854.832479	
0.000620	0.132898	855.749081	
0.000630	0.134856	857.124517	
0.000640	0.136958	858.856941	
0.000650	0.139159	860.130887	
0.000660	0.141360	860.895254	
0.000670	0.143514	862.015900	
0.000680	0.145612	863.238392	
0.000690	0.147689	863.747970	
0.000700	0.149812	864.512337	
0.000710	0.152001	866.448096	
0.000720	0.154192	868.332755	
0.000730	0.156305	869.402656	
0.000740	0.158336	870.421813	
0.000750	0.160362	871.746149	
0.000760	0.162467	873.376019	
0.000770	0.164678	875.006243	
0.000780	0.166948	876.076145	
0.000790	0.169171	876.840512	
0.000800	0.171289	877.706724	
0.000810	0.173342	878.623681	
0.000820	0.175383	879.795428	
0.000830	0.177419	881.272708	
0.000840	0.179453	882.495199	
0.000850	0.181475	883.259566	
0.000860	0.183450	883.769145	
0.000870	0.185382	884.125424	
0.000880	0.187336	884.583902	
0.000890	0.189369	885.297525	
0.000900	0.191458	886.061892	
0.000910	0.193506	886.825905	
0.000920	0.195446	887.844351	
0.000930	0.197324	889.016098	
0.000940	0.184550	889.933409	
0.000950	0.186486	890.595577	
0.000960	0.188420	891.308845	
0.000970	0.190298	892.175057	
0.000980	0.192128	892.786480	
0.000990	0.193933	892.939425	
0.001000	0.195715	893.193859	
0.001010	0.197478	894.008616	
0.001020	0.199239	895.282207	
0.001030	0.201034	896.352109	
0.001040	0.202860	896.556153	
0.001050	0.204658	896.250974	
0.001060	0.206410	896.149129	
0.001070	0.208180	896.403563	
0.001080	0.210004	897.065731	
0.001090	0.211868	897.931588	
0.001100	0.213756	898.491912	
0.001110	0.215649	898.899645	
0.001120	0.217515	899.561813	
0.001130	0.219340	900.274726	
0.001140	0.221157	900.376571	
0.001150	0.222982	899.765502	
0.001160	0.224758	899.612913	
0.001170	0.226455	900.529870	
0.001180	0.228123	901.701616	
0.001190	0.229807	902.669673	
0.001200	0.231538	903.433685	
0.001210	0.233325	903.739220	
0.001220	0.235129	903.892164	
0.001230	0.236930	904.299898	
0.001240	0.238754	904.656531	
0.001250	0.240596	904.962065	
0.001260	0.242442	905.267600	
0.001270	0.244295	905.318699	
0.001280	0.246140	905.369799	
0.001290	0.247997	905.216855	
0.001300	0.249910	904.299898	
0.001310	0.251841	903.637730	
0.001320	0.253736	904.096208	
0.001330	0.255619	904.554687	
0.001340	0.257496	904.809476	
0.001350	0.259335	905.930477	
0.001360	0.261165	907.611802	
0.001370	0.263014	908.936137	
0.001380	0.264868	909.597950	
0.001390	0.266681	909.954584	
0.001400	0.268424	910.515262	
0.001410	0.270132	910.922641	
0.001420	0.271836	911.075231	
0.001430	0.273520	911.635554	
0.001440	0.275219	912.094032	
0.001450	0.276956	911.941088	
0.001460	0.278672	912.348821	
0.001470	0.280368	913.520922	
0.001480	0.282115	914.183090	
0.001490	0.283916	914.335680	
0.001500	0.285711	915.048948	
0.001510	0.287501	915.966260	
0.001520	0.289324	915.813670	
0.001530	0.291163	914.896713	
0.001540	0.292973	914.540079	
0.001550	0.294762	915.151147	
0.001560	0.296580	916.017004	
0.001570	0.298457	916.322893	
0.001580	0.300351	916.119204	
0.001590	0.302211	915.558526	
0.001600	0.304022	914.590469	
0.001610	0.305772	914.081246	
0.001620	0.307478	914.540079	
0.001630	0.309209	915.100757	
0.001640	0.310990	915.406291	
0.001650	0.312806	915.558881	
0.001660	0.314659	915.253347	
0.001670	0.316520	914.998558	
0.001680	0.318359	915.202247	
0.001690	0.320189	915.100402	
0.001700	0.321974	915.049302	
0.001710	0.323667	916.068104	
0.001720	0.325351	916.679527	
0.001730	0.327110	915.405936	
0.001740	0.328867	913.979401	
0.001750	0.330564	913.673867	
0.001760	0.332244	913.572022	
0.001770	0.334007	911.635909	
0.001780	0.335879	907.560347	
0.001790	0.337783	903.230351	
0.001800	0.339933	894.518904	
0.001810	0.342276	883.412866	
