Time [s]	Input Load [N]	Output Load [N]
0.002100	6659.18	6439.02
0.002110	6671.55	6436.87
0.002120	6675.55	6436.15
0.002130	6666.15	6422.51
0.002140	6646.64	6393.80
0.002150	6618.26	6363.30
0.002160	6535.71	6301.92
0.002170	6429.83	6223.68
0.002180	6140.92	5958.09
0.002190	4998.53	4879.92
0.002200	3113.05	3026.88
0.002210	1580.91	1422.20
0.002220	567.91	437.00
0.002230	-184.05	-184.63
0.002240	-342.35	-383.47
0.002250	-113.87	-254.98
0.002260	-50.83	-121.46
0.002270	-118.92	-82.34
0.002280	-127.98	-88.80
0.002290	-119.79	-99.21
0.002300	-159.15	-105.67
