Time [s]	Eng. strain [-]	Cast-800-20C-005 [MPa]
0.000172	0.126467	917.875423	
0.000173	0.127363	919.172254	
0.000174	0.128264	919.272304	
0.000175	0.129169	919.870868	
0.000176	0.130079	920.519457	
0.000177	0.130990	920.619160	
0.000178	0.131899	921.965321	
0.000179	0.132807	922.862993	
0.000180	0.133714	921.815940	
0.000181	0.134620	922.065371	
0.000182	0.135524	923.660962	
0.000183	0.136426	924.209501	
0.000184	0.137326	924.858090	
0.000185	0.138226	925.805440	
0.000186	0.139127	926.104548	
0.000187	0.140027	926.902865	
0.000188	0.140926	927.601132	
0.000189	0.141825	927.102271	
0.000190	0.142724	927.401726	
0.000191	0.143623	928.748582	
0.000192	0.144523	928.998013	
0.000193	0.145421	928.748582	
0.000194	0.146319	929.496527	
0.000195	0.147218	930.344174	
0.000196	0.148117	930.393851	
0.000197	0.149015	930.393851	
0.000198	0.149913	930.593604	
0.000199	0.150812	930.443877	
0.000200	0.151711	930.742985	
0.000201	0.152612	931.840410	
0.000202	0.153511	932.139518	
0.000203	0.154408	931.989790	
0.000204	0.155305	933.186918	
0.000205	0.156201	934.633129	
0.000206	0.157097	935.031940	
0.000207	0.157991	935.829910	
0.000208	0.158885	937.176418	
0.000209	0.159780	937.575577	
0.000210	0.160674	937.974735	
0.000211	0.161567	939.171516	
0.000212	0.162457	940.019510	
0.000213	0.163347	940.867505	
0.000214	0.164237	941.515746	
0.000215	0.165125	940.917530	
0.000216	0.166012	941.266663	
0.000217	0.166898	942.961958	
0.000218	0.167783	942.911932	
0.000219	0.168666	942.313369	
0.000220	0.169548	943.061660	
0.000221	0.170429	942.862602	
0.000222	0.171309	942.164335	
0.000223	0.172188	943.111685	
0.000224	0.173067	943.759927	
0.000225	0.173943	943.311091	
0.000226	0.174817	943.959680	
0.000227	0.175690	945.106783	
0.000228	0.176563	945.056758	
0.000229	0.177434	944.707624	
0.000230	0.178304	944.907030	
0.000231	0.179173	945.455569	
0.000232	0.180041	945.904405	
0.000233	0.180909	945.804702	
0.000234	0.181778	946.203861	
0.000235	0.182648	947.450666	
0.000236	0.183520	947.600047	
0.000237	0.184394	946.802077	
0.000238	0.185269	946.952152	
0.000239	0.186146	947.700444	
0.000240	0.187025	948.148933	
0.000241	0.187906	948.497719	
0.000242	0.188788	949.046258	
0.000243	0.189671	949.694847	
0.000244	0.190553	949.794897	
0.000245	0.191434	949.695194	
0.000246	0.192316	950.692569	
0.000247	0.193196	951.989052	
0.000248	0.194074	952.188458	
0.000249	0.194951	952.637641	
0.000250	0.195827	954.233580	
0.000251	0.196703	955.130905	
0.000252	0.197577	954.881475	
0.000253	0.198450	954.981177	
0.000254	0.199322	955.679444	
0.000255	0.200192	956.178653	
0.000256	0.201061	955.929570	
0.000257	0.201927	956.078950	
0.000258	0.202794	957.774244	
0.000259	0.203659	958.771619	
0.000260	0.204523	958.372808	
0.000261	0.205386	959.320506	
0.000262	0.206247	960.467608	
0.000263	0.207107	959.968747	
0.000264	0.207966	960.417583	
0.000265	0.208823	961.664736	
0.000266	0.209678	961.465331	
0.000267	0.210531	961.066172	
0.000268	0.211385	961.116197	
0.000269	0.212236	961.215900	
0.000270	0.213087	961.564686	
0.000271	0.213937	961.415306	
0.000272	0.214787	961.365628	
0.000273	0.215637	961.963845	
0.000274	0.216486	961.714414	
0.000275	0.217335	961.365281	
0.000276	0.218185	962.212928	
0.000277	0.219035	962.412333	
0.000278	0.219886	961.664389	
0.000279	0.220738	962.013522	
0.000280	0.221590	962.960872	
0.000281	0.222442	963.110600	
0.000282	0.223295	962.811839	
0.000283	0.224147	962.811839	
0.000284	0.224997	963.609461	
0.000285	0.225847	964.307728	
0.000286	0.226696	964.208025	
0.000287	0.227542	965.005995	
0.000288	0.228387	966.402528	
0.000289	0.229231	966.302478	
0.000290	0.230072	966.202428	
0.000291	0.230912	967.150125	
0.000292	0.231750	966.551909	
0.000293	0.232588	964.906292	
0.000294	0.233425	965.305450	
0.000295	0.234261	966.752009	
0.000296	0.235097	966.951414	
0.000297	0.235933	966.352503	
0.000298	0.226613	965.853642	
0.000299	0.227458	965.654236	
0.000300	0.228286	965.953345	
0.000301	0.229099	966.751314	
0.000302	0.229906	967.749036	
0.000303	0.230735	968.197873	
0.000304	0.231593	967.848739	
0.000305	0.232434	968.048492	
0.000306	0.233228	969.594753	
0.000307	0.234022	971.190692	
0.000308	0.234844	971.988314	
0.000309	0.235671	972.636556	
0.000310	0.236501	973.185442	
0.000311	0.237334	973.684304	
0.000312	0.238140	974.881432	
0.000313	0.238949	975.978509	
0.000314	0.239797	975.928137	
0.000315	0.240650	975.728384	
0.000316	0.241489	975.878112	
0.000317	0.242328	975.978162	
0.000318	0.243158	976.327295	
0.000319	0.243987	976.726106	
0.000320	0.244811	977.224967	
0.000321	0.245629	977.873557	
0.000322	0.246470	977.873557	
0.000323	0.247296	978.272368	
0.000324	0.248090	979.568851	
0.000325	0.248926	979.618876	
0.000326	0.249785	978.970982	
0.000327	0.250605	979.419818	
0.000328	0.251426	979.768604	
0.000329	0.252250	979.968009	
0.000330	0.253039	981.115112	
0.000331	0.253838	981.913082	
0.000332	0.254672	981.663651	
0.000333	0.255511	981.214815	
0.000334	0.256346	980.865682	
0.000335	0.257156	981.164790	
0.000336	0.257962	981.613626	
0.000337	0.258807	980.965384	
0.000338	0.259642	980.566573	
0.000339	0.260438	981.314518	
0.000340	0.261242	981.863057	
0.000341	0.262055	982.162512	
0.000342	0.262873	982.312240	
0.000343	0.263710	981.913429	
0.000344	0.264540	981.714023	
0.000345	0.265360	981.763701	
0.000346	0.266172	982.012784	
0.000347	0.266963	982.860432	
0.000348	0.267784	982.860432	
0.000349	0.268638	981.913082	
0.000350	0.269455	982.013132	
0.000351	0.270269	982.212537	
0.000352	0.271111	981.663651	
0.000353	0.271910	982.361918	
0.000354	0.272691	983.608723	
0.000355	0.273524	983.409318	
0.000356	0.274363	983.110210	
0.000357	0.275169	983.758451	
0.000358	0.275968	984.606446	
0.000359	0.276774	985.304712	
0.000360	0.277605	985.304712	
0.000361	0.278445	985.005604	
0.000362	0.279257	985.504118	
0.000363	0.280060	986.252062	
0.000364	0.280862	987.050032	
0.000365	0.281659	988.047407	
0.000366	0.282491	988.047407	
0.000367	0.283348	987.399165	
0.000368	0.284173	987.648596	
0.000369	0.284996	987.997382	
0.000370	0.285848	987.548198	
0.000371	0.286682	987.648248	
0.000372	0.287496	988.297185	
0.000373	0.288348	987.898374	
0.000374	0.289207	987.299810	
0.000375	0.290023	987.898374	
0.000376	0.290833	988.696343	
0.000377	0.291669	988.746021	
0.000378	0.292503	988.845724	
0.000379	0.293299	989.942801	
0.000380	0.294087	991.239285	
0.000381	0.294907	991.638443	
0.000382	0.295736	991.738493	
0.000383	0.296563	991.888221	
0.000384	0.297393	991.888221	
0.000385	0.298201	992.486785	
0.000386	0.298993	993.484160	
0.000387	0.299814	993.633541	
0.000388	0.300648	993.384110	
0.000389	0.301472	993.384110	
0.000390	0.302296	993.284407	
0.000391	0.303099	993.733243	
0.000392	0.303893	994.381485	
0.000393	0.304726	993.832946	
0.000394	0.305559	993.234730	
0.000395	0.306359	993.533838	
0.000396	0.307165	993.633193	
0.000397	0.307971	993.732896	
0.000398	0.308762	994.281435	
0.000399	0.309564	994.530865	
0.000400	0.310367	994.780643	
0.000401	0.311157	995.429232	
0.000402	0.311959	995.778366	
0.000403	0.312762	996.127499	
0.000404	0.313559	996.676038	
0.000405	0.314374	996.725716	
0.000406	0.315175	997.174552	
0.000407	0.315967	997.922844	
0.000408	0.316805	997.423982	
0.000409	0.317630	997.323932	
0.000410	0.318419	998.271630	
0.000411	0.319259	997.822793	
0.000412	0.320113	997.024477	
0.000413	0.320922	997.522990	
0.000414	0.321741	997.722743	
0.000415	0.322572	997.623388	
0.000416	0.323400	997.573363	
0.000417	0.324253	996.825071	
0.000418	0.325088	996.575988	
0.000419	0.325900	996.975146	
0.000420	0.326731	996.875444	
0.000421	0.327545	997.224577	
0.000422	0.328335	998.271630	
0.000423	0.329149	998.620416	
0.000424	0.329973	998.670093	
0.000425	0.330771	999.468063	
0.000426	0.331574	1000.066627	
0.000427	0.332426	999.268657	
0.000428	0.333295	997.972174	
0.000429	0.334112	998.122249	
0.000430	0.334887	999.419080	
0.000431	0.335689	999.967271	
0.000432	0.336510	999.966924	
0.000433	0.337323	1000.116652	
0.000434	0.338159	999.568113	
0.000435	0.338993	998.969549	
0.000436	0.339783	999.568113	
0.000437	0.340581	999.917246	
0.000438	0.341408	999.418385	
0.000439	0.342216	999.468410	
0.000440	0.343028	999.418732	
0.000441	0.343858	998.869846	
0.000442	0.344663	999.019227	
0.000443	0.345471	999.069252	
0.000444	0.346295	998.670441	
0.000445	0.347080	999.318682	
0.000446	0.347856	1000.266380	
0.000447	0.348666	1000.217049	
0.000448	0.349471	1000.316752	
0.000449	0.350266	1000.715216	
0.000450	0.351098	1000.066974	
0.000451	0.351934	999.269352	
0.000452	0.352719	999.867569	
0.000453	0.353485	1000.964299	
0.000454	0.354283	1001.114027	
0.000455	0.355111	1000.366430	
0.000456	0.355926	1000.017296	
0.000457	0.356705	1000.665191	
0.000458	0.357508	1000.615166	
0.000459	0.358355	999.318682	
0.000460	0.359168	998.969896	
0.000461	0.359941	999.768213	
0.000462	0.360746	999.668510	
0.000463	0.361579	998.770491	
0.000464	0.362389	998.570738	
0.000465	0.363172	999.119277	
0.000466	0.363964	999.418732	
0.000467	0.364782	999.019921	
0.000468	0.365588	998.969896	
0.000469	0.366363	999.767866	
0.000470	0.367162	999.917594	
0.000471	0.367990	999.219327	
0.000472	0.368810	998.720466	
0.000473	0.369635	998.071877	
0.000474	0.370444	997.872471	
0.000475	0.371214	998.820168	
0.000476	0.372006	999.119277	
0.000477	0.372824	998.720466	
0.000478	0.373614	999.119624	
0.000479	0.374414	999.219327	
0.000480	0.375249	998.371332	
0.000481	0.376067	997.972174	
0.000482	0.376865	998.171579	
0.000483	0.377662	998.370985	
0.000484	0.378459	998.620416	
0.000485	0.379267	998.570738	
0.000486	0.380086	998.221605	
