Time [s]	Eng. strain [-]	Cast-800-20C-007 [MPa]
0.000184	0.144911	876.910475
0.000185	0.145832	877.797566
0.000186	0.146753	878.093148
0.000187	0.147673	879.029674
0.000188	0.148593	879.966200
0.000189	0.149511	879.818237
0.000190	0.150429	880.064728
0.000191	0.151348	880.606801
0.000192	0.152266	880.507930
0.000193	0.153182	880.655893
0.000194	0.154097	880.902726
0.000195	0.155013	881.050689
0.000196	0.155930	882.085400
0.000197	0.156846	883.218981
0.000198	0.157761	883.761397
0.000199	0.158676	884.500525
0.000200	0.159592	884.697580
0.000201	0.160508	884.648488
0.000202	0.161424	885.979124
0.000203	0.162339	886.816779
0.000204	0.163254	885.978780
0.000205	0.164169	886.225271
0.000206	0.165083	887.753305
0.000207	0.165996	888.098323
0.000208	0.166907	887.654778
0.000209	0.167818	888.295378
0.000210	0.168728	889.773634
0.000211	0.169636	890.611289
0.000212	0.170543	890.907215
0.000213	0.171447	891.794649
0.000214	0.172351	892.780267
0.000215	0.173254	892.829359
0.000216	0.174156	892.977322
0.000217	0.175056	894.160339
0.000218	0.175957	894.850374
0.000219	0.176858	894.604227
0.000220	0.177758	895.047773
0.000221	0.178658	896.328973
0.000222	0.179558	897.807572
0.000223	0.180459	899.286171
0.000224	0.181360	899.976207
0.000225	0.182261	899.778809
0.000226	0.183161	899.482883
0.000227	0.184061	899.187301
0.000228	0.184960	899.088773
0.000229	0.185858	899.187301
0.000230	0.186755	898.842283
0.000231	0.187650	898.792847
0.000232	0.188546	899.876993
0.000233	0.189442	901.010574
0.000234	0.190338	901.405027
0.000235	0.191233	901.405371
0.000236	0.192130	901.257751
0.000237	0.193028	901.405714
0.000238	0.193927	901.750732
0.000239	0.194826	901.750389
0.000240	0.195725	902.243026
0.000241	0.196626	903.179552
0.000242	0.197528	902.982154
0.000243	0.198429	902.735663
0.000244	0.199330	904.214606
0.000245	0.200231	906.087658
0.000246	0.201133	907.024184
0.000247	0.202033	907.024184
0.000248	0.202932	906.284713
0.000249	0.203830	906.087315
0.000250	0.204727	906.875878
0.000251	0.205623	907.368859
0.000252	0.206517	907.615349
