Time [s]	Eng. strain [-]	Cast-800-550C-020 [MPa]	
0.000000	0.000624	106.713281	
0.000001	0.000662	113.239875	
0.000002	0.000679	116.041876	
0.000003	0.000593	101.456977	
0.000004	0.000663	113.404373	
0.000005	0.000730	124.891619	
0.000006	0.000659	112.664896	
0.000007	0.000713	121.917075	
0.000008	0.000842	144.020422	
0.000009	0.000819	140.084460	
0.000010	0.000842	143.962735	
0.000011	0.000988	168.892702	
0.000012	0.001032	176.550816	
0.000013	0.001067	182.475206	
0.000014	0.001222	208.892506	
0.000015	0.001313	224.512862	
0.000016	0.001348	230.429069	
0.000017	0.001473	251.899816	
0.000018	0.001568	268.210346	
0.000019	0.001598	273.304798	
0.000020	0.001716	293.444338	
0.000021	0.001830	313.000479	
0.000022	0.001848	315.950327	
0.000023	0.001942	332.104691	
0.000024	0.002092	357.692111	
0.000025	0.002137	365.416066	
0.000026	0.002232	381.636250	
0.000027	0.002434	416.188256	
0.000028	0.002519	430.806140	
0.000029	0.002571	439.598219	
0.000030	0.002751	470.427930	
0.000031	0.002851	487.535490	
0.000032	0.002851	487.584827	
0.000033	0.002974	508.603615	
0.000034	0.004045	525.801492	
0.000035	0.005121	517.954310	
0.000036	0.006196	526.475112	
0.000037	0.007259	530.690279	
0.000038	0.008309	532.670485	
0.000039	0.009343	534.278242	
0.000040	0.010361	536.521483	
0.000041	0.011366	536.658485	
0.000042	0.012362	535.784808	
0.000043	0.013351	535.951935	
0.000044	0.014334	535.467171	
0.000045	0.015317	535.185097	
0.000046	0.016299	536.896984	
0.000047	0.017282	537.562611	
0.000048	0.018267	536.571163	
0.000049	0.019255	537.716097	
0.000050	0.020243	540.208559	
0.000051	0.021231	541.536932	
0.000052	0.022216	543.780077	
0.000053	0.023197	547.006485	
0.000054	0.024171	548.156761	
0.000055	0.025139	548.403216	
0.000056	0.026101	549.649437	
0.000057	0.027061	550.399944	
0.000058	0.028023	551.035446	
0.000059	0.028989	552.139323	
0.000060	0.029958	551.457384	
0.000061	0.030932	550.252277	
0.000062	0.031908	551.306798	
0.000063	0.032883	552.273655	
0.000064	0.033856	552.607794	
0.000065	0.034826	555.228959	
0.000066	0.035792	557.510508	
0.000067	0.036756	556.823037	
0.000068	0.037718	557.420153	
0.000069	0.038677	559.901683	
0.000070	0.039632	560.287925	
0.000071	0.040586	560.660470	
0.000072	0.041537	562.963960	
0.000073	0.042486	562.947514	
0.000074	0.043434	561.273974	
0.000075	0.044384	562.706382	
0.000076	0.045333	564.796117	
0.000077	0.046284	564.793294	
0.000078	0.047237	565.995654	
0.000079	0.048190	567.836225	
0.000080	0.049144	567.132327	
0.000081	0.050099	566.743413	
0.000082	0.051055	568.395013	
0.000083	0.052010	569.293377	
0.000084	0.052964	570.115047	
0.000085	0.053917	571.717328	
0.000086	0.054868	571.457137	
0.000087	0.055818	570.731337	
0.000088	0.056768	572.333657	
0.000089	0.057717	573.664796	
0.000090	0.058668	573.941433	
0.000091	0.059620	575.951821	
0.000092	0.060572	577.795140	
0.000093	0.061528	577.230896	
0.000094	0.062486	577.452739	
0.000095	0.063446	579.249449	
0.000096	0.064410	579.917690	
0.000097	0.065377	580.320226	
0.000098	0.066346	581.182933	
0.000099	0.067316	580.744663	
0.000100	0.068289	580.558439	
0.000101	0.069261	582.018376	
0.000102	0.070234	582.744310	
0.000103	0.071206	583.357948	
0.000104	0.072176	585.387606	
0.000105	0.073144	585.773848	
0.000106	0.074111	584.604322	
0.000107	0.075075	585.938190	
0.000108	0.076037	588.123871	
0.000109	0.076997	588.323813	
0.000110	0.077955	589.211245	
0.000111	0.078911	590.903959	
0.000112	0.079867	590.304171	
0.000113	0.080823	589.641368	
0.000114	0.081779	591.366916	
0.000115	0.082736	592.610390	
0.000116	0.083698	592.922589	
0.000117	0.084665	594.163258	
0.000118	0.085640	594.480895	
0.000119	0.086623	593.864567	
0.000120	0.087618	595.097051	
0.000121	0.088625	596.587019	
0.000122	0.089643	596.973223	
0.000123	0.090671	598.446821	
0.000124	0.091705	599.372620	
0.000125	0.092742	598.044247	
0.000126	0.093778	598.422248	
0.000127	0.094808	600.684662	
0.000128	0.095828	600.873691	
0.000129	0.096839	601.079166	
0.000130	0.097838	603.262175	
0.000131	0.098828	603.300561	
0.000132	0.099812	601.709230	
0.000133	0.100792	603.012954	
0.000134	0.101770	604.837080	
0.000135	0.102748	604.333104	
0.000136	0.103725	604.648089	
0.000137	0.104699	605.765588	
0.000138	0.105668	605.154792	
0.000139	0.106631	605.368394	
0.000140	0.107585	607.438975	
0.000141	0.108531	608.430404	
0.000142	0.109469	609.241103	
0.000143	0.110399	610.714682	
0.000144	0.111323	610.303905	
0.000145	0.112243	609.816470	
0.000146	0.113158	611.722900	
0.000147	0.114069	612.667931	
0.000148	0.114978	612.227009	
0.000149	0.115885	613.440377	
0.000150	0.116790	613.870367	
0.000151	0.117696	612.281707	
0.000152	0.118602	613.084145	
0.000153	0.119508	615.373842	
0.000154	0.120414	615.023199	
0.000155	0.121321	614.697225	
0.000156	0.122226	616.148845	
0.000157	0.123130	615.702353	
0.000158	0.124034	614.582068	
0.000159	0.124938	616.436300	
0.000160	0.125842	618.213874	
0.000161	0.126746	617.622290	
0.000162	0.127650	617.614144	
0.000163	0.128554	618.260616	
0.000164	0.129458	618.211375	
0.000165	0.130362	619.249450	
0.000166	0.131267	621.029753	
0.000167	0.132174	621.826754	
0.000168	0.133084	622.760719	
0.000169	0.133994	623.335876	
0.000170	0.134906	622.574437	
0.000171	0.135820	623.344079	
0.000172	0.132742	625.436657	
0.000173	0.133761	625.244938	
0.000174	0.134901	624.631453	
0.000175	0.135533	625.664091	
0.000176	0.136436	625.116350	
0.000177	0.137690	623.812626	
0.000178	0.138378	625.513524	
0.000179	0.139068	627.186988	
0.000180	0.140327	626.247452	
0.000181	0.141206	626.499344	
0.000182	0.141815	628.005681	
0.000183	0.142988	627.611177	
0.000184	0.144008	627.915135	
0.000185	0.144572	630.525348	
0.000186	0.145584	631.596315	
0.000187	0.146717	631.243059	
0.000188	0.147384	632.075794	
0.000189	0.148311	632.473045	
0.000190	0.149473	632.577194	
0.000191	0.150158	634.456151	
0.000192	0.150955	635.705101	
0.000193	0.152157	635.392825	
0.000194	0.152949	636.121334	
0.000195	0.153667	636.239067	
0.000196	0.154909	634.535403	
0.000197	0.155828	634.981857	
0.000198	0.156390	636.970362	
0.000199	0.157519	636.381526	
0.000200	0.158620	635.595476	
0.000201	0.159193	636.781467	
0.000202	0.160177	636.666424	
0.000203	0.161368	636.178875	
0.000204	0.161963	638.328936	
0.000205	0.162755	639.923014	
0.000206	0.163981	639.531373	
0.000207	0.164716	640.295616	
0.000208	0.165422	640.848966	
0.000209	0.166660	639.805491	
0.000210	0.167507	640.816190	
0.000211	0.168065	643.026520	
0.000212	0.169216	642.506060	
0.000213	0.170256	641.799339	
0.000214	0.170826	642.952381	
0.000215	0.171843	642.856493	
0.000216	0.172971	642.401816	
0.000217	0.173566	644.278007	
0.000218	0.174416	645.617369	
