Time [s]	Eng. strain [-]	Cast-200-20C-002 [MPa]
0.001330	0.241718	905.524606	
0.001340	0.243532	904.128995	
0.001350	0.245316	903.082287	
0.001360	0.247049	902.284844	
0.001370	0.248754	901.237789	
0.001380	0.250383	901.287434	
0.001390	0.251950	902.683045	
0.001400	0.253579	903.380850	
0.001410	0.255259	903.480834	
0.001420	0.256907	904.378261	
0.001430	0.258565	905.324985	
0.001440	0.260276	905.374630	
0.001450	0.262001	904.776809	
0.001460	0.263689	904.477898	
0.001470	0.265309	905.524606	
0.001480	0.266935	906.820581	
0.001490	0.268652	906.870225	
0.001500	0.270358	907.368410	
0.001510	0.271974	909.411835	
0.001520	0.273600	910.956728	
0.001530	0.275282	911.455259	
0.001540	0.276953	912.303041	
0.001550	0.278604	913.349750	
0.001560	0.280255	913.947571	
0.001570	0.281905	914.445756	
0.001580	0.283589	914.893948	
0.001590	0.285321	915.342488	
0.001600	0.287069	915.891012	
0.001610	0.288854	915.442472	
0.001620	0.290636	914.346119	
0.001630	0.292303	914.844650	
0.001640	0.293897	916.389543	
0.001650	0.295533	917.037357	
0.001660	0.297194	917.186986	
0.001670	0.298863	917.137341	
0.001680	0.300566	916.339899	
0.001690	0.302241	915.941004	
0.001700	0.303860	916.489180	
0.001710	0.305515	916.339551	
0.001720	0.307207	915.542109	
0.001730	0.308884	915.143561	
0.001740	0.310573	914.495401	
0.001750	0.312249	913.747603	
0.001760	0.313879	913.249418	
0.001770	0.315510	912.352339	
0.001780	0.317123	911.953444	
0.001790	0.318823	910.607825	
0.001800	0.320759	905.723880	
