Time [s]	Eng. strain [-]	Cast-200-20C-002 [MPa]
0.000000	0.000006	1.116700	
0.000010	0.000008	1.518353	
0.000020	0.000009	1.717717	
0.000030	0.000074	14.875601	
0.000040	0.000242	48.418220	
0.000050	0.000453	90.682891	
0.000060	0.000806	161.257004	
0.000070	0.001402	280.325967	
0.000080	0.002024	404.877217	
0.000090	0.002522	504.408596	
0.000100	0.002940	588.090761	
0.000110	0.003241	648.148215	
0.000120	0.003415	683.086056	
0.000130	0.006669	708.006395	
0.000140	0.009721	726.746815	
0.000150	0.012662	739.805153	
0.000160	0.015586	750.520808	
0.000170	0.018539	759.691570	
0.000180	0.021467	767.117819	
0.000190	0.024310	773.297738	
0.000200	0.027094	778.829843	
0.000210	0.029873	783.814119	
0.000220	0.032660	788.598774	
0.000230	0.035412	793.034179	
0.000240	0.038069	796.024676	
0.000250	0.040590	798.367358	
0.000260	0.043036	802.005668	
0.000270	0.045550	806.042873	
0.000280	0.048161	808.385208	
0.000290	0.050747	809.680835	
0.000300	0.053236	811.923881	
0.000310	0.055658	815.213635	
0.000320	0.058048	818.154139	
0.000330	0.060415	819.948298	
0.000340	0.062750	821.094990	
0.000350	0.065034	822.291328	
0.000360	0.067252	823.437326	
0.000370	0.069413	824.633316	
0.000380	0.071547	826.627096	
0.000390	0.073701	829.368326	
0.000400	0.075918	832.009573	
0.000410	0.078187	834.451545	
0.000420	0.080445	836.993501	
0.000430	0.082646	839.286192	
0.000440	0.084776	840.881077	
0.000450	0.086856	841.928133	
0.000460	0.088955	842.974841	
0.000470	0.091117	844.170484	
0.000480	0.093298	845.117208	
0.000490	0.095425	845.715377	
0.000500	0.097475	846.313546	
0.000510	0.099507	847.310262	
0.000520	0.101585	848.905147	
0.000530	0.103707	850.749645	
0.000540	0.105835	852.444514	
0.000550	0.107932	854.039399	
0.000560	0.109963	855.584639	
0.000570	0.111942	857.279161	
0.000580	0.113935	859.272247	
0.000590	0.115996	861.116050	
0.000600	0.118124	862.661291	
0.000610	0.120260	864.007257	
0.000620	0.122349	865.053965	
0.000630	0.124402	866.349939	
0.000640	0.126456	868.194090	
0.000650	0.128529	869.688991	
0.000660	0.130624	870.635716	
0.000670	0.132734	871.433158	
0.000680	0.134842	871.582787	
0.000690	0.136920	871.283876	
0.000700	0.138966	871.383513	
0.000710	0.141011	871.533142	
0.000720	0.143077	871.483497	
0.000730	0.145150	872.081319	
0.000740	0.147194	873.426938	
0.000750	0.149184	874.573630	
0.000760	0.151144	875.221444	
0.000770	0.153112	875.719629	
0.000780	0.155088	876.118523	
0.000790	0.157060	876.268152	
0.000800	0.159025	876.517418	
0.000810	0.160972	877.464490	
0.000820	0.162897	878.909746	
0.000830	0.164822	880.354655	
0.000840	0.166748	881.401016	
0.000850	0.168664	881.650282	
0.000860	0.170576	881.650629	
0.000870	0.172476	882.298790	
0.000880	0.174328	883.245514	
0.000890	0.176148	883.594417	
0.000900	0.178005	883.744046	
0.000910	0.179920	884.890391	
0.000920	0.181825	886.684897	
0.000930	0.183648	887.581976	
0.000940	0.185409	887.781250	
0.000950	0.187177	888.728322	
0.000960	0.188970	890.372852	
0.000970	0.190758	891.618834	
0.000980	0.192529	892.366631	
0.000990	0.194313	893.712251	
0.001000	0.196121	895.456764	
0.001010	0.197934	896.204562	
0.001020	0.199745	896.653102	
0.001030	0.201568	897.998721	
0.001040	0.203406	899.493622	
0.001050	0.205238	900.241072	
0.001060	0.207038	899.892517	
0.001070	0.208809	898.546898	
0.001080	0.210580	897.749108	
0.001090	0.212381	898.795469	
0.001100	0.214218	899.941814	
0.001110	0.216083	899.094727	
0.001120	0.217963	897.848745	
0.001130	0.219863	898.297285	
0.001140	0.221778	899.094727	
0.001150	0.223698	899.194364	
0.001160	0.225608	899.692896	
0.001170	0.213000	900.041799	
0.001180	0.214854	899.692896	
0.001190	0.216583	900.639967	
0.001200	0.218187	903.181576	
0.001210	0.219847	905.075372	
0.001220	0.221658	905.673888	
0.001230	0.223546	905.574598	
0.001240	0.225406	905.225696	
0.001250	0.227187	905.474614	
0.001260	0.228937	906.321702	
0.001270	0.230740	907.069499	
0.001280	0.232614	907.368757	
0.001290	0.234526	906.870225	
0.001300	0.236410	906.022791	
0.001310	0.238206	905.873162	
0.001320	0.239945	906.122428	
