Time [s]	Eng. strain [-]	Cast-800-550C-023 [MPa]	
0.000000	0.000665	113.690168
0.000001	0.000716	122.412117	
0.000002	0.000678	115.955903	
0.000003	0.000658	112.438058	
0.000004	0.000724	123.750702	
0.000005	0.000728	124.411890	
0.000006	0.000724	123.807942	
0.000007	0.000808	138.156867	
0.000008	0.000835	142.850021	
0.000009	0.000821	140.352359	
0.000010	0.000912	156.023461	
0.000011	0.000992	169.547948	
0.000012	0.000998	170.625321	
0.000013	0.001096	187.439189	
0.000014	0.001220	208.644302	
0.000015	0.001246	213.141613	
0.000016	0.001328	227.115140	
0.000017	0.001482	253.478644	
0.000018	0.001563	267.215439	
0.000019	0.001660	283.792632	
0.000020	0.001825	312.115061	
0.000021	0.001916	327.606637	
0.000022	0.001989	340.086477	
0.000023	0.002142	366.303072	
0.000024	0.002238	382.741503	
0.000025	0.002286	390.887292	
0.000026	0.002424	414.475780	
0.000027	0.002527	432.171183	
0.000028	0.002539	434.097434	
0.000029	0.002643	451.898868	
0.000030	0.002775	474.524089	
0.000031	0.002793	477.527656	
0.000032	0.002859	488.881059	
0.000033	0.003882	510.877821	
0.000034	0.004913	512.061339	
0.000035	0.005947	512.175558	
0.000036	0.006975	523.553445	
0.000037	0.007994	527.699747	
0.000038	0.009003	529.525311	
0.000039	0.010000	530.798619	
0.000040	0.010987	530.273578	
0.000041	0.011965	528.137917	
0.000042	0.012938	527.052414	
0.000043	0.013907	526.459338	
0.000044	0.014876	525.887980	
0.000045	0.015846	526.965352	
0.000046	0.016819	527.876732	
0.000047	0.017794	527.318962	
0.000048	0.018771	528.736413	
0.000049	0.019749	532.229791	
0.000050	0.020727	534.455318	
0.000051	0.021703	536.789701	
0.000052	0.022675	540.470809	
0.000053	0.023642	542.089635	
0.000054	0.024605	541.863775	
0.000055	0.025564	543.360100	
0.000056	0.026520	545.408700	
0.000057	0.027474	546.241167	
0.000058	0.028427	547.381078	
0.000059	0.029378	548.257133	
0.000060	0.030328	548.112953	
0.000061	0.031278	549.225745	
0.000062	0.032227	551.181939	
0.000063	0.033176	552.047134	
0.000064	0.034127	553.363954	
0.000065	0.035079	554.912035	
0.000066	0.036030	554.280849	
0.000067	0.036981	553.714967	
0.000068	0.037929	555.592249	
0.000069	0.038875	557.200159	
0.000070	0.039820	557.564684	
0.000071	0.040764	558.538640	
0.000072	0.041708	559.088166	
0.000073	0.042651	558.756218	
0.000074	0.043594	559.893476	
0.000075	0.044536	561.993888	
0.000076	0.045476	563.539278	
0.000077	0.046415	565.503659	
0.000078	0.047354	566.907579	
0.000079	0.048293	566.534885	
0.000080	0.049232	567.177007	
0.000081	0.050172	569.394423	
0.000082	0.051110	570.360325	
0.000083	0.052049	570.909946	
0.000084	0.052986	572.433561	
0.000085	0.053923	572.689326	
0.000086	0.054859	572.096212	
0.000087	0.055794	573.491907	
0.000088	0.056726	575.584094	
0.000089	0.057654	576.628814	
0.000090	0.058578	577.904776	
0.000091	0.059497	578.949476	
0.000092	0.060411	578.965755	
0.000093	0.061322	579.822726	
0.000094	0.062229	581.389796	
0.000095	0.063134	582.165163	
0.000096	0.064037	583.177249	
0.000097	0.064940	583.800287	
0.000098	0.065843	582.382817	
0.000099	0.066749	581.743462	
0.000100	0.067658	583.460228	
0.000101	0.068570	584.382542	
0.000102	0.069486	584.801533	
0.000103	0.070405	587.059713	
0.000104	0.071326	588.450007	
0.000105	0.072248	587.699125	
0.000106	0.073172	588.490884	
0.000107	0.074095	590.749103	
0.000108	0.075017	591.674184	
0.000109	0.075940	592.381611	
0.000110	0.076862	593.342055	
0.000111	0.077783	593.042816	
0.000112	0.078704	593.214230	
0.000113	0.079625	594.732368	
0.000114	0.080546	595.393459	
0.000115	0.081468	596.038215	
0.000116	0.082390	597.499159	
0.000117	0.083312	596.963126	
0.000118	0.084233	595.521114	
0.000119	0.085153	596.729079	
0.000120	0.086072	598.345157	
0.000121	0.086989	598.282580	
0.000122	0.087904	599.213062	
0.000123	0.088817	600.630551	
0.000124	0.089730	600.168048	
0.000125	0.090642	600.423813	
0.000126	0.091554	602.782681	
0.000127	0.092467	604.330781	
0.000128	0.093382	605.206854	
0.000129	0.094297	606.738580	
0.000130	0.095214	607.173850	
0.000131	0.096130	607.209156	
0.000132	0.097045	608.898651	
0.000133	0.093911	610.204555	
0.000134	0.095048	610.307971	
0.000135	0.095807	611.105189	
0.000136	0.096580	611.233128	
0.000137	0.097758	609.984362	
0.000138	0.098609	610.493124	
0.000139	0.099247	612.373059	
0.000140	0.100317	612.751153	
0.000141	0.101268	612.946975	
0.000142	0.101911	613.891026	
0.000143	0.102919	613.627113	
0.000144	0.103950	613.346882	
0.000145	0.104589	614.851413	
0.000146	0.105464	616.176364	
0.000147	0.106507	616.804803	
0.000148	0.107197	617.759732	
0.000149	0.108052	617.634578	
0.000150	0.109178	617.098640	
0.000151	0.109904	618.668534	
0.000152	0.110614	620.456100	
0.000153	0.111730	620.695605	
0.000154	0.112574	621.604388	
0.000155	0.113238	622.660062	
0.000156	0.114345	621.792175	
0.000157	0.115326	621.482002	
0.000158	0.115948	623.209588	
0.000159	0.116903	624.208010	
0.000160	0.117932	624.188907	
0.000161	0.118622	624.531676	
0.000162	0.119547	624.294958	
0.000163	0.120614	624.226923	
0.000164	0.121289	625.715137	
0.000165	0.122100	626.721765	
0.000166	0.123202	627.004687	
0.000167	0.123931	628.321469	
0.000168	0.124669	628.642521	
0.000169	0.125845	627.521617	
0.000170	0.126682	628.688837	
0.000171	0.127258	631.074919	
0.000172	0.128350	631.099423	
0.000173	0.129361	630.963353	
0.000174	0.129953	632.342675	
0.000175	0.130940	632.554795	
0.000176	0.132039	632.407791	
0.000177	0.132661	634.271408	
0.000178	0.133507	635.713382	
0.000179	0.134640	635.474029	
0.000180	0.135387	635.653705	
0.000181	0.136204	635.681032	
0.000182	0.137349	635.302957	
0.000183	0.138124	636.682411	
0.000184	0.138811	638.268602	
0.000185	0.139937	638.097208	
0.000186	0.140836	638.423699	
0.000187	0.141483	639.079408	
0.000188	0.142582	638.263239	
0.000189	0.143584	638.731238	
0.000190	0.144137	641.231595	
0.000191	0.145088	641.998870	
0.000192	0.146216	641.623448	
0.000193	0.146852	642.700858	
0.000194	0.147699	643.049123	
0.000195	0.148880	642.129538	
0.000196	0.149609	643.136185	
0.000197	0.150318	644.937245	
0.000198	0.151441	644.692320	
0.000199	0.152318	644.194341	
0.000200	0.153044	644.724764	
0.000201	0.154092	645.064748	
0.000202	0.154981	645.978818	
